Dist_Nm,Stat_Nm,state_d,dstrct_,Longitd,Lattitd
Dadra & Nagar Haveli,DADRA & NAGAR HAVE,31,3101,73.071524960000005,20.193088220000000
Daman,DAMAN & DIU,32,3201,72.858918500000001,20.413944560000001
Diu,DAMAN & DIU,32,3202,70.937643589999993,20.719564559999998
North  & Middle Andaman,ANDAMAN & NICOBAR,29,2903,92.828846909999996,12.602821680000000
South Andaman,ANDAMAN & NICOBAR,29,2901,92.670661620000004,11.852888410000000
Nicobars,ANDAMAN & NICOBAR,29,2902,93.798827459999998,7.026868599000000
Srikakulam,ANDHRA PRADESH,1,119,84.024008949999995,18.598784590000001
Vizianagaram,ANDHRA PRADESH,1,121,83.384834209999994,18.474821020000000
Visakhapatnam,ANDHRA PRADESH,1,120,82.693779539999994,17.894185740000001
Krishna,ANDHRA PRADESH,1,110,80.797656219999993,16.556572330000002
Guntur,ANDHRA PRADESH,1,106,80.078797640000005,16.293193570000000
East Godavari,ANDHRA PRADESH,1,105,81.896771430000001,17.269196999999998
Prakasam,ANDHRA PRADESH,1,117,79.515636499999999,15.616118250000000
Kurnool,ANDHRA PRADESH,1,111,77.999413750000002,15.531983670000001
Anantapur,ANDHRA PRADESH,1,102,77.573149630000003,14.481247099999999
Sri Potti Sriramulu Nell*,ANDHRA PRADESH,1,115,79.739147709999997,14.418465590000000
West Godavari,ANDHRA PRADESH,1,123,81.383897540000007,16.936673540000001
Y.S.R.,ANDHRA PRADESH,1,104,78.780409610000007,14.463798180000000
Chittoor,ANDHRA PRADESH,1,103,79.005976059999995,13.464999120000000
Upper Subansiri,ARUNACHAL PRADESH,2,213,93.932611589999993,28.291276400000001
Anjaw,ARUNACHAL PRADESH,2,216,96.825087659999994,28.066011199999998
Changlang,ARUNACHAL PRADESH,2,201,96.340979950000005,27.363256300000000
Tawang,ARUNACHAL PRADESH,2,209,91.950486839999996,27.662263950000000
Papum Pare,ARUNACHAL PRADESH,2,208,93.593095349999999,27.289639290000000
Tirap,ARUNACHAL PRADESH,2,210,95.531813049999997,27.027770459999999
East Siang,ARUNACHAL PRADESH,2,203,95.355231709999998,28.043647730000000
Lohit,ARUNACHAL PRADESH,2,205,96.275909850000005,27.906172919999999
Kurung Kumey,ARUNACHAL PRADESH,2,204,93.202136249999995,28.013609939999998
Lower Subansiri,ARUNACHAL PRADESH,2,207,93.787441569999999,27.562033520000000
East Kameng,ARUNACHAL PRADESH,2,202,92.922634919999993,27.585511629999999
West Kameng,ARUNACHAL PRADESH,2,214,92.390232089999998,27.297839860000000
Kra Daadi,ARUNACHAL PRADESH,2,221,93.694360259999996,28.002313740000002
Namsai,ARUNACHAL PRADESH,2,218,96.043397339999999,27.701193379999999
Longding,ARUNACHAL PRADESH,2,217,95.327874240000000,26.855208540000000
Upper Siang,ARUNACHAL PRADESH,2,212,94.915294459999998,28.833725999999999
Lower Siang,ARUNACHAL PRADESH,2,223,94.684774430000004,27.768993230000000
Upper Dibang Valley,ARUNACHAL PRADESH,2,211,95.909515139999996,28.861737470000001
Lower Dibang Valley,ARUNACHAL PRADESH,2,206,95.840253660000002,28.250071819999999
Siang,ARUNACHAL PRADESH,2,219,94.811383359999994,28.404400429999999
Shi Yomi,ARUNACHAL PRADESH,2,225,94.259164790000000,28.678602590000001
Pakke Kessang,ARUNACHAL PRADESH,2,224,93.035665240000000,27.105281439999999
West Siang,ARUNACHAL PRADESH,2,215,94.624541429999994,28.158716960000000
Lepa Rada,ARUNACHAL PRADESH,2,222,94.732930780000004,27.926407999999999
Kamle,ARUNACHAL PRADESH,2,220,94.090877649999996,27.729727820000001
Tinsukia,ASSAM,3,323,95.619562669999993,27.579985170000000
Dhemaji,ASSAM,3,305,94.775213460000003,27.589854559999999
Dibrugarh,ASSAM,3,307,95.053100360000002,27.366873999999999
Lakhimpur,ASSAM,3,316,94.140646070000003,27.173970680000000
Sivasagar,ASSAM,3,321,94.660050350000006,26.970188940000000
Jorhat,ASSAM,3,311,94.263960589999996,26.710917429999999
Sonitpur,ASSAM,3,322,92.698954029999996,26.756606120000001
Golaghat,ASSAM,3,309,93.835031099999995,26.475307040000001
Udalguri,ASSAM,3,327,92.031523230000005,26.730127440000000
Chirang,ASSAM,3,325,90.599449809999996,26.659905100000000
Baksa,ASSAM,3,324,91.352782239999996,26.660799140000002
Nagaon,ASSAM,3,318,92.753596180000002,26.362338730000001
Kokrajhar,ASSAM,3,315,90.117132549999994,26.493510820000001
Darrang,ASSAM,3,304,92.029491590000006,26.447655690000001
Barpeta,ASSAM,3,301,91.004653529999999,26.340275869999999
Nalbari,ASSAM,3,319,91.382440570000000,26.370656409999999
Morigaon,ASSAM,3,317,92.284081119999996,26.281789509999999
Kamrup,ASSAM,3,313,91.414575180000000,26.099817699999999
Bongaigaon,ASSAM,3,302,90.619656530000000,26.359985490000000
Dhubri,ASSAM,3,306,90.033386419999999,26.166904440000000
Kamrup Metropolitan,ASSAM,3,326,91.887739139999994,26.129915489999998
Goalpara,ASSAM,3,308,90.605218489999999,26.051796540000002
Dima Hasao,ASSAM,3,320,93.030859930000005,25.377888550000002
Cachar,ASSAM,3,303,92.854668399999994,24.812498399999999
Karimganj,ASSAM,3,314,92.376942099999994,24.576218810000000
Hailakandi,ASSAM,3,310,92.587701659999993,24.497148060000001
Charaideo,ASSAM,3,330,95.045806519999999,27.062891820000001
Majuli,ASSAM,3,332,94.292351900000000,26.999146620000001
Biswanath,ASSAM,3,329,93.383068280000003,26.829043089999999
Hojai,ASSAM,3,331,92.979925910000006,25.978135829999999
South Salmara Mancachar,ASSAM,3,333,89.962352359999997,25.817823220000001
Karbi Anglong,ASSAM,3,312,93.404772589999993,26.156846930000000
West Karbi Anglong,ASSAM,3,334,92.532940819999993,25.849999310000001
Pashchim Champaran,BIHAR,4,425,84.338474129999994,27.080504149999999
Purba Champaran,BIHAR,4,427,84.922129799999993,26.618355030000000
Sitamarhi,BIHAR,4,435,85.552261130000005,26.585183480000001
Sheohar,BIHAR,4,434,85.301482489999998,26.497729939999999
Gopalganj,BIHAR,4,411,84.374160130000007,26.444117439999999
Samastipur,BIHAR,4,431,85.865047460000000,25.773698650000000
Katihar,BIHAR,4,415,87.640312330000000,25.549529889999999
Khagaria,BIHAR,4,416,86.601462089999998,25.511010020000001
Bhojpur,BIHAR,4,407,84.539512369999997,25.474313779999999
Buxar,BIHAR,4,408,84.093887789999997,25.486860329999999
Darbhanga,BIHAR,4,409,86.055241640000006,26.084619719999999
Saharsa,BIHAR,4,430,86.590785589999996,25.814292020000000
Kaimur (bhabua),BIHAR,4,414,83.605735530000004,24.992147249999999
Rohtas,BIHAR,4,429,84.025994240000003,24.979600439999999
Jamui,BIHAR,4,413,86.292996639999998,24.784708899999998
Banka,BIHAR,4,404,86.837627019999999,24.854357910000001
Nawada,BIHAR,4,424,85.589910730000000,24.811004510000000
Gaya,BIHAR,4,410,84.934200910000001,24.696758740000000
Munger,BIHAR,4,421,86.525782050000004,25.210134679999999
Vaishali,BIHAR,4,438,85.366993930000007,25.767660169999999
Begusarai,BIHAR,4,405,86.129742690000000,25.496770569999999
Bhagalpur,BIHAR,4,406,87.082702019999999,25.269534029999999
Lakhisarai,BIHAR,4,418,86.136987239999996,25.162016950000002
Sheikhpura,BIHAR,4,433,85.839004489999994,25.126103749999999
Arwal,BIHAR,4,402,84.677095919999999,25.162891660000000
Jehanabad,BIHAR,4,412,85.016693579999995,25.155161620000001
Nalanda,BIHAR,4,423,85.447967219999995,25.218639000000000
Patna,BIHAR,4,426,85.226789929999995,25.455266989999998
Saran,BIHAR,4,432,84.826150429999998,25.903732070000000
Siwan,BIHAR,4,436,84.386132910000001,26.161589859999999
Muzaffarpur,BIHAR,4,422,85.329068109999994,26.152262140000001
Madhepura,BIHAR,4,419,86.898088560000005,25.821929340000001
Araria,BIHAR,4,401,87.362164170000000,26.198243340000001
Supaul,BIHAR,4,437,86.807884389999998,26.244716990000001
Madhubani,BIHAR,4,420,86.221780730000006,26.402317470000000
Purnia,BIHAR,4,428,87.403933120000005,25.814789850000000
Kishanganj,BIHAR,4,417,87.940099050000001,26.298693130000000
Aurangabad,BIHAR,4,403,84.408492570000007,24.790637969999999
Chandigarh,CHANDIGARH,30,3001,76.780504010000001,30.729349599999999
Mahasamund,CHHATTISGARH,5,512,82.608246100000002,21.207724620000000
Uttar Bastar Kanker,CHHATTISGARH,5,509,81.122808590000005,20.137644370000000
Narayanpur,CHHATTISGARH,5,518,81.085834390000002,19.570220580000001
Dakshin Bastar Dantewada,CHHATTISGARH,5,503,81.377714940000004,18.863718500000001
Bastar,CHHATTISGARH,5,501,81.867922829999998,19.081995240000001
Kondagaon,CHHATTISGARH,5,523,81.664907529999994,19.745784669999999
Gariaband,CHHATTISGARH,5,522,82.234848270000001,20.448686160000001
Raipur,CHHATTISGARH,5,514,81.820072609999997,21.285839100000000
Durg,CHHATTISGARH,5,505,81.383265289999997,21.220368850000000
Dhamtari,CHHATTISGARH,5,504,81.809064570000004,20.555243409999999
Balod,CHHATTISGARH,5,519,81.188561320000005,20.741571870000001
Koriya,CHHATTISGARH,5,511,82.234926470000005,23.470016900000001
Jashpur,CHHATTISGARH,5,507,83.862443119999995,22.801189520000001
Korba,CHHATTISGARH,5,510,82.608656510000003,22.534371870000001
Kabeerdham,CHHATTISGARH,5,508,81.222377739999999,22.092529100000000
Janjgir - Champa,CHHATTISGARH,5,506,82.734172720000004,21.928352260000000
Bametara,CHHATTISGARH,5,528,81.524069999999995,21.708569770000000
Rajnandgaon,CHHATTISGARH,5,515,80.820126709999997,21.039714230000001
Surajpur,CHHATTISGARH,5,526,82.883461659999995,23.402159609999998
Baloda Bazar,CHHATTISGARH,5,520,82.327492590000006,21.582072980000000
Mungeli,CHHATTISGARH,5,524,81.730268679999995,22.240697980000000
Surguja,CHHATTISGARH,5,516,83.227130140000000,22.928539260000001
Balrampur,CHHATTISGARH,5,527,83.500573250000002,23.592945090000001
Bijapur,CHHATTISGARH,5,517,80.775948479999997,18.842528560000002
Raigarh,CHHATTISGARH,5,513,83.303429870000002,22.085057060000000
Bilaspur,CHHATTISGARH,5,502,82.073409220000002,22.405528120000000
Sukma,CHHATTISGARH,5,525,81.347048189999995,18.255910790000001
North,DELHI,33,3304,77.108382620000000,28.794270839999999
North East,DELHI,33,3305,77.256644010000002,28.718755410000000
West,DELHI,33,3309,77.065497199999996,28.656077849999999
East,DELHI,33,3302,77.295819750000007,28.619985660000001
South West,DELHI,33,3308,76.966746729999997,28.576323259999999
Central,DELHI,33,3301,77.215507639999998,28.694396050000002
New Delhi,DELHI,33,3303,77.147394019999993,28.577351019999998
South,DELHI,33,3307,77.190793510000006,28.482702020000001
Shahdara,DELHI,33,3310,77.297395409999993,28.677321809999999
South East,DELHI,33,3307,77.274090909999998,28.543337359999999
North West,DELHI,33,3306,77.041760719999999,28.726881890000001
North Goa,GOA,6,601,73.973497260000002,15.580873110000001
South Goa,GOA,6,602,74.106567260000006,15.221928460000001
Valsad,GUJARAT,7,725,73.118991010000002,20.418078829999999
Amreli,GUJARAT,7,702,71.250911610000003,21.424007440000000
The Dangs,GUJARAT,7,723,73.698367320000003,20.798434480000001
Banas Kantha,GUJARAT,7,704,72.026138300000000,24.287408610000000
Patan,GUJARAT,7,717,71.758482599999994,23.770383790000000
Mahesana,GUJARAT,7,713,72.466389789999994,23.610522150000001
Gandhinagar,GUJARAT,7,708,72.695385479999999,23.254926179999998
Ahmadabad,GUJARAT,7,701,72.246376020000000,22.785273050000001
Panch Mahals,GUJARAT,7,716,73.625735309999996,22.719956509999999
Dohad,GUJARAT,7,707,74.113169360000001,22.862028500000001
Vadodara,GUJARAT,7,724,73.242457840000000,22.248071660000001
Bharuch,GUJARAT,7,705,72.933135910000004,21.786889670000001
Porbandar,GUJARAT,7,718,69.777413359999997,21.655132670000000
Narmada,GUJARAT,7,714,73.644894550000004,21.736943900000000
Surat,GUJARAT,7,721,73.074740629999994,21.266971550000001
Tapi,GUJARAT,7,726,73.626617010000004,21.191255790000000
Aravalli,GUJARAT,7,727,73.328239589999995,23.468352299999999
Botad,GUJARAT,7,728,71.698933629999999,22.116535920000000
Chota Udaipur,GUJARAT,7,729,73.873380260000005,22.219394390000001
Mahisagar,GUJARAT,7,732,73.647066140000007,23.187630129999999
Gir Somnath,GUJARAT,7,731,70.776092919999996,20.965546010000001
Sabar Kantha,GUJARAT,7,720,73.032680819999996,23.807252049999999
Kachchh,GUJARAT,7,711,69.919730549999997,23.628307820000000
Surendranagar,GUJARAT,7,722,71.593697329999998,22.764845820000001
Rajkot,GUJARAT,7,719,70.745188150000004,22.021211980000000
Kheda,GUJARAT,7,712,72.951632250000003,22.837455630000001
Anand,GUJARAT,7,703,72.787047349999995,22.459591260000000
Bhavnagar,GUJARAT,7,706,71.893562669999994,21.570797710000001
Junagadh,GUJARAT,7,710,70.412728599999994,21.372075639999998
Jamnagar,GUJARAT,7,709,70.209588040000000,22.332033939999999
Devbhumi Dwarka,GUJARAT,7,730,69.464297930000001,22.120959270000000
Morbi,GUJARAT,7,733,70.911286550000000,22.836892700000000
Navsari,GUJARAT,7,715,73.091703449999997,20.815768580000000
Jhajjar,HARYANA,8,807,76.651962400000002,28.604985910000000
Gurugram,HARYANA,8,805,76.939824819999998,28.369132770000000
